keyword,pc,mobile,total,comp_label,competition,ad_depth
LGU+,11600,17000,28600,높음,0.9,10
게이밍의자,10000,18500,28500,높음,0.9,10
매트,4510,23900,28410,중간,0.6,8
건강보험료,9230,19100,28330,높음,0.9,9
ETF투자방법,4220,24100,28320,높음,0.9,10
VOO주가,2870,25400,28270,높음,0.9,3
캠핑용에어컨,5030,23200,28230,높음,0.9,10
미니건조기,5010,23200,28210,중간,0.6,8
듀라론냉감패드,3990,24100,28090,중간,0.6,8
지갑,7780,20300,28080,높음,0.9,10
학자금대출,8850,19200,28050,높음,0.9,10
인버터,5570,22400,27970,높음,0.9,10
태아보험,10100,17700,27800,높음,0.9,10
부비동염,4320,23400,27720,높음,0.9,10
유모차,5170,22500,27670,높음,0.9,10
음식물분쇄기,3790,23800,27590,중간,0.6,8
음식물쓰레기통,5140,22400,27540,중간,0.6,8
위니아에어컨,3010,24500,27510,중간,0.6,8
IPTIME,16500,11000,27500,높음,0.9,10
캠핑테이블,6500,20900,27400,중간,0.6,8
필립스커피머신,4570,22800,27370,높음,0.9,10
신용카드추천,6730,20600,27330,높음,0.9,10
돗자리,4530,22700,27230,중간,0.6,8
한방병원,3180,24000,27180,높음,0.9,10
스니커즈,4890,22200,27090,높음,0.9,10
실업급여수급기간,5220,21700,26920,낮음,0.3,2
운전면허필기시험접수,3610,23300,26910,높음,0.9,10
아기매트,3140,23700,26840,높음,0.9,8
건축물대장열람,19200,7580,26780,높음,0.9,3
호카호파라,3460,23300,26760,높음,0.9,10
유팡젖병소독기,2960,23800,26760,중간,0.6,7
에어프라이기,4830,21900,26730,중간,0.6,8
주식사는법,2520,24200,26720,높음,0.9,10
미니에어컨,4010,22700,26710,중간,0.6,8
S&P500ETF,8210,18400,26610,높음,0.9,9
메리츠,10600,16000,26600,높음,0.9,10
연금저축펀드,5180,21400,26580,높음,0.9,10
사무용의자,13400,13100,26500,중간,0.6,8
족저근막염신발,2580,23900,26480,높음,0.9,10
웨건,4770,21700,26470,높음,0.9,9
비상금대출,2500,23800,26300,높음,0.9,10
중소기업현황시스템,17500,8700,26200,중간,0.6,7
근로장려금대상,2570,23600,26170,낮음,0.3,1
AIG손해보험,6680,19400,26080,높음,0.9,7
LG정수기,5290,20600,25890,높음,0.9,10
게이트맨도어락,3380,22400,25780,높음,0.9,10
마이너스통장,4850,20900,25750,높음,0.9,9
알뜰폰허브,9590,16100,25690,중간,0.6,1
초파리,3580,22100,25680,중간,0.6,8
임플란트가격,2870,22700,25570,높음,0.9,10
캠핑,5430,20100,25530,중간,0.6,8
태블릿PC,7790,17700,25490,높음,0.9,8
세금계산기,6010,19400,25410,낮음,0.3,0
생맥산,4230,21100,25330,높음,0.9,7
국제운전면허증발급,8530,16800,25330,높음,0.9,3
청년지원금,6120,19200,25320,높음,0.9,10
양도소득세계산기,8300,17000,25300,높음,0.9,10
교통사고,2910,22200,25110,높음,0.9,10
여성원피스,2870,22200,25070,높음,0.9,10
산업안전산업기사,7200,17800,25000,높음,0.9,10
연차발생기준,7830,17100,24930,높음,0.9,10
커피원두,8200,16700,24900,중간,0.6,8
벤츠지바겐,2020,22500,24520,높음,0.9,10
데스크탑,10000,14500,24500,중간,0.6,8
척추측만증,2690,21800,24490,높음,0.9,10
KT알뜰요금제,5260,19200,24460,높음,0.9,10
