keyword,volume,comp,competition,ad_depth,tier,blog,score
법인등록번호조회,1690,중간,0.6,4,3,T1,154.9
무선선풍기,68700,중간,0.6,8,2,T2,154.8
트라이크추천,1670,중간,0.6,4,3,T2,154.7
현대블루핸즈,67580,중간,0.6,3,2,T1,154.6
아기분유,1660,중간,0.6,8,3,T2,154.6
매일분유,1660,중간,0.6,5,3,T2,154.6
침대프레임,67300,중간,0.6,8,2,T1,154.5
서큘레이터,66900,중간,0.6,8,2,T2,154.4
근속연수계산기,1640,중간,0.6,1,3,T1,154.3
전입신고,65400,중간,0.6,6,2,T1,154.1
